pop	long	lat	ALTfreq
ACB	-59.54	13.17	0.0
GWD	5.0	13.46	0.0
BEB	90.48	24.2	0.052325999999999984
PEL	-75.65	-10.69	0.7588239999999999
LWK	37.28	0.48	0.0
MSL	7.0	8.53	0.0
GBR	-2.11	54.82	0.0
IBS	-3.48	39.45	0.0
ASW	-111.54	33.13	0.03278700000000001
TSI	11.25	43.76	0.0
KHV	106.63	10.82	0.823232
YRI	7.92	9.63	0.0
STU	80.89	7.56	0.004901999999999962
CHS	121.46	31.21	0.9047619
ESN	7.93	7.89	0.0
FIN	26.73	61.95	0.05555600000000005
GIH	70.98	23.2	0.014562999999999993
PJL	69.08	29.83	0.0
MXL	-118.23	34.04	0.484375
PUR	-66.11	18.32	0.17307700000000004
ITU	82.73	17.66	0.0
CDX	100.8	22.0	0.897849
JPT	139.73	35.72	0.802885
CLM	-74.2	4.71	0.23936199999999996
CHB	110.0	39.9	0.9368932
CEU	8.14	63.09	0.0
UYG	84.84656	39.23618	0.418478
SIB	98.0	57.0	0.8767119999999999
HAN	105.0	32.0	0.9277778
